tip_name	collection_date
hCoV-19_USA_CT-Yale-3585_2021	2021-04-07
hCoV-19_USA_CT-CDCBI-CRSP_02093_2021	2021-03-24
hCoV-19_USA_CT-CDC-LC0040874_2021	2021-04-09
hCoV-19_USA_CT-Yale-3234_2021	2021-03-30
hCoV-19_USA_CT-Yale-3067_2021	2021-03-24
hCoV-19_USA_CT-Yale-2726_2021	2021-03-20
hCoV-19_USA_CT-Yale-2785_2021	2021-03-21
hCoV-19_USA_CT-JAX-JAX000710_2021	2021-03-30
hCoV-19_USA_CT-CDC-STM-000037676_2021	2021-03-15
hCoV-19_USA_CT-Yale-2505_2021	2021-03-12
hCoV-19_USA_NY-PRL-2021_03_29_01K23_2021	2021-03-24
hCoV-19_USA_CT-Yale-2441_2021	2021-03-09
hCoV-19_USA_CT-Yale-2506_2021	2021-03-12
hCoV-19_USA_CT-JAX-JAX000468_2021	2021-03-23
hCoV-19_USA_CT-Yale-2495_2021	2021-03-12
hCoV-19_USA_NY-Wadsworth-21018054-01_2021	2021-01-30
hCoV-19_USA_NJ-CDC-IBX118256881943_2021	2021-03-20
hCoV-19_USA_NY-PRL-2021_03_25_00G21_2021	2021-03-24
hCoV-19_USA_NY-CDC-ASC210012133_2021	2021-03-19
hCoV-19_USA_NJ-PHEL-21-8138_2021	2021-03-04
hCoV-19_USA_NY-PRL-2021_0405_01N09_2021	2021-04-01
hCoV-19_USA_NY-PRL-2021_0415_01K12_2021	2021-04-14
hCoV-19_USA_NY-CDC-2-4043806_2021	2021-03-03
hCoV-19_USA_NY-Wadsworth-21042153-01_2021	2021-03-26
hCoV-19_USA_NJ-CDC-IBX018724817604_2021	2021-04-02
hCoV-19_USA_CT-CDC-QDX23678347_2021	2021-04-05
hCoV-19_USA_CT-Yale-2173_2021	2021-03-06
hCoV-19_USA_CT-Yale-2451_2021	2021-03-09
hCoV-19_USA_CT-Yale-2152_2021	2021-03-07
hCoV-19_USA_NJ-PHEL-P21-12958_2021	2021-04-09
