tip_name	tip_dates
hCoV-19_India_TN-67_S3_R1_001_2021	2021-02-10
hCoV-19_India_TN-SEQ152_S18_R1_001_2021	2021-02-24
hCoV-19_India_TN-SEQ153_S19_R1_001_2021	2021-02-24
hCoV-19_India_TN-SEQ154_S20_R1_001_2021	2021-02-24
hCoV-19_Pakistan_MU-NIH-K14_2020	2020-12-25
hCoV-19_Pakistan_MU-NIH-K53_2020	2020-12-28
hCoV-19_India_GJ-GBRC-443_2020	2020-12-22
hCoV-19_India_GJ-GBRC-444_2020	2020-12-22
hCoV-19_India_GJ-GBRC-448_2020	2020-12-24
hCoV-19_India_GJ-GBRC-452_2020	2020-12-25
hCoV-19_India_GJ-GBRC-456_2020	2020-12-26
hCoV-19_India_GJ-GBRC-457_2020	2020-12-26
hCoV-19_India_KA-NIMH-SEQ-30_2020	2020-12-24
hCoV-19_India_KA-NIMH-SEQ-33_2020	2020-12-25
hCoV-19_India_KA-NIMH-SEQ-36_2020	2020-12-25
hCoV-19_Iran_N193_2021	2021-01-08
hCoV-19_India_KA-NIMH-SEQ-60_2020	2020-12-30
hCoV-19_India_KA-NIMH-SEQ-62_2020	2020-12-31
hCoV-19_Malaysia_IMR_WC378731_2020	2020-12-28
hCoV-19_Jordan_AM-ALSR-5774_2021	2021-01-04
hCoV-19_Jordan_AM-ALSR-5776_2021	2021-01-04
hCoV-19_Jordan_AM-ALSR-5777_2021	2021-01-04
hCoV-19_Jordan_AM-ALSR-5782_2021	2021-01-04
hCoV-19_Jordan_AM-ALSR-5788_2021	2021-01-04
hCoV-19_Jordan_AM-ALSR-5794_2021	2021-01-05
hCoV-19_Jordan_AM-ALSR-5796_2021	2021-01-03
hCoV-19_Jordan_AM-ALSR-5829_2020	2020-12-25
hCoV-19_Jordan_AM-ALSR-5830_2020	2020-12-24
hCoV-19_Jordan_AM-ALSR-5832_2021	2021-01-02
hCoV-19_Jordan_AM-ALSR-5833_2021	2021-01-02
hCoV-19_Bangladesh_G039392_2021	2021-01-06
hCoV-19_India_KA-NIMH-SEQ-104_2021	2021-01-06
hCoV-19_Taiwan_NTU54_2021	2021-01-08
hCoV-19_Georgia_Tb-SNGS013_2021	2021-02-09
hCoV-19_Georgia_Tb-SNGS007_2021	2021-02-09
hCoV-19_Jordan_Biolab005_2021	2021-01-27
hCoV-19_Bangladesh_CHRF-0155_2021	2021-03-09
hCoV-19_Bangladesh_CHRF-0162_2021	2021-01-09
hCoV-19_Bangladesh_CHRF-0164_2021	2021-01-11
hCoV-19_Bangladesh_CHRF-0168_2021	2021-01-25
hCoV-19_Bangladesh_CHRF-0169_2021	2021-02-20
hCoV-19_Bangladesh_CHRF-0179_2021	2021-03-14
hCoV-19_Taiwan_792_2020	2020-12-28
hCoV-19_Pakistan_NIH-56_2021	2021-01-01
hCoV-19_Jordan_AM-Biolab006_2021	2021-03-27
hCoV-19_Jordan_AM-Biolab007_2021	2021-03-18
hCoV-19_Jordan_AM-Biolab008_2021	2021-03-18
hCoV-19_India_MH-NCCS-VOC-386_2021	2021-02-03
hCoV-19_India_MH-NCCS-VOC-412_2021	2021-02-03
hCoV-19_India_TN-NCCS-VOC-599_2021	2021-02-08
hCoV-19_India_MH-NCCS-87458_2020	2020-10-05
hCoV-19_India_MH-NCCS-VOC-407_2021	2021-02-03
hCoV-19_India_MH-NCCS-VOC-392_2021	2021-02-03
hCoV-19_India_MH-NCCS-VOC-178_2021	2021-02-03
hCoV-19_India_MH-NCCS-VOC-407-1_2021	2021-02-03
hCoV-19_India_MH-NCCS-86775_2021	2021-02-12
hCoV-19_India_WB-1931500893545_2021	2020-10-27
hCoV-19_India_WB-708301011615_2021	2021-02-26
hCoV-19_India_WB-1931500889323_2021	2021-02-26
hCoV-19_India_WB-708301026161_2021	2021-03-01
hCoV-19_India_WB-708301026167_2021	2021-03-01
hCoV-19_India_WB-708301034747_2021	2021-03-02
hCoV-19_India_WB-1931500905036_2021	2021-03-02
hCoV-19_India_WB-1930300526705_2021	2021-02-22
hCoV-19_India_WB-1930300556778_2021	2021-03-07
hCoV-19_India_WB-1931500940251_2021	2021-03-12
hCoV-19_India_WB-1931500927612_2021	2021-03-09
hCoV-19_India_WB-1931500891575_2021	2021-02-26
hCoV-19_India_WB-1930300562642_2021	2021-03-10
hCoV-19_India_WB-1931500860311_2021	2021-02-18
hCoV-19_India_WB-1930300567464_2021	2021-03-12
hCoV-19_India_WB-1930300569786_2021	2021-03-13
hCoV-19_India_WB-1931500928036_2021	2021-03-09
hCoV-19_India_WB-1970400167166_2021	2021-03-02
hCoV-19_Bangladesh_CHRF-0195_2021	2021-03-20
hCoV-19_India_KA-NCCS-VOC-400_2021	2021-01-19
